,Clean_Job_decription,skills
141,task responsibility development integration software package according specificationscreation delivery test development series software versionsconfiguration validation core software hw interface input output eeprom layout etc verification system constant configurationrecording documentation ecu resource consumptionfreeze archival created program versionssupports software project manager system engineer project program version planning activity respect delivery date software contentsupports system engineer calibration engineer sw start ups vehicle testingsupports software project manager planning ecu resourcesanalysis complaint software development series productiondeliberation determination project specific tool chain program creation tool department customer case sw sharingreview architectural design element related verification criterion order ensure test abilitydevelop test case based architectural design element related verification criteriaexecute document sw system integration test verify result,"['design', 'documentation', 'system integration', 'software']"
142,mandatory skill strong c programming skill c 11 c 14 practical experience designing multi threaded embedded sw development using c design pattern strong o concept like efficient multi threading resource sharing hand experience designing using uml modelling tool like ea rhapsody etc experience performance measurement analysis embedded system experience unit test framework like google test must experience 2 3 year experience working embedded linux system 3 4 year experience using ipc mechanism like socket pipe queue etc 4 5 year experience build tool cmake make gmake cross compilation gdb address sanitizers etc good experience knowledge experience qnx knowledge service oriented architecture knowledge automotive standard like adaptive autosar iso 26262 automotive safety knowledge ip dd communication protocol good knowledge life cycle management tool like svn git atlassian etc exposure test automation suite like robot test framework working agile scrum team skill collaboration excellent communication soft skillsresponsibilities design middleware software based posix system high performance computing platform embedded automotive application work independently able guide team technically elaboration technical documentation report new application idea development guide team building automation enhance ci cd test collaborate effectively global software engineering team work team brilliant engineer,"['14', '2 3 year', 'documentation', 'framework', '26262', 'collaboration', 'google', 'linux', 'ipc', '3 4 year', 'queue', 'middleware', 'design', 'embedded system', 'git', '11', 'software', 'robot', 'software engineering', '4 5 year']"
143,r firmware engineer responsible complete life cycle software analysis development implementation trouble shooting selection used technology strategy formulation software development part responsibility requiring thorough view existing emerging technology function criterion knowledge experienceproven working experience software engineeringexperience hand development troubleshooting embedded targetsgood programming experience c c python vbhands experience 16 bit 32 bit microcontrollers architecture risc cisc arm cortex dsphands experience software development tool ide compiler like eclipse code warrior keil cc iar matlabhands experience operating system window linux rtosproven experience embedded system design preemptive multitasking real time operating system strong firmware architect capabilitiesfamiliarity software configuration management tool defect tracking tool peer reviewexcellent knowledge embedded coding technique ip modbus protocol interface hardware subsystemsadequate knowledge reading schematic data sheet componentsstrong documentation writing skillsknowledge yocto buildsunderstanding concept electronics web based software asset,"['32', 'python', '16', 'design', 'documentation', 'compiler', 'embedded system', 'eclipse', 'linux', 'software', 'operating system']"
144,least 6 year experience sap apo minimum 2 3 end end implementation project preparation go live s4hana able understand design configure process scm know process integrated sd mm pp module demand planning dp hand experience dp configuration planning book data view planning bucket profile process chain configuration apo user exit table structure modification setting forecast profile configuration planning area planning book data view apo bi knowledge cube structure data source data transfer process supply network planning snp snp heuristic optimizer capable match technique snp master data like product master location master transportation lane bom production version product master transactional data safety stock planning deployment process experience process adopted custom development unit testing function testing integration testing go live conduct solution architecture workshop business manager create detailed solution documentation presentation implement solution using standard solution sap knowledge recognized quality tool abap debugging key user end user training experience comfortable training wbt content creationsoft skill self driven candidate ready learn new topic ready adapt environment well project need strong communication skill required written verbal strong interpersonal skill able participate deployment hyper care activity good ability demonstrate cross functional ability work collaborative team environmentmandatory preferred skill sap apo mandatory 6 yrssap pp preferred,"['business', 'design', 'documentation', 'deployment', '6 yrssap', 'snp snp', '2 3', 'snp', 'debugging', 'testing']"
145,job description vro automation implementation per project need patch update migration upgradations vro workflow troubleshooting customizations work existing programmer system administrator dba optimize env review system performance efficiency conduct bottleneck evaluation identify performance issue qualificationsb minimum 4 year exp vmware related productsc experience troubleshooting window server complex computing platform cutting edge technology involving virtualization distribution high availabilityd java java script basic programming knowledgee experience private cloud topic e g pcf f knowledge existing industry standard technology operational normsg understanding o linux window networkingh experience virtualization microsoft technologiesi experience server operating system administration,"['4 year', 'operating system', 'server', 'linux', 'java java', 'workflow']"
146,develop implement digital solution field i4 0 line latest technology trend view continuously improve product quality productivity reduce cost networking digital expert across bosch worldwide plant cross learn implement new standard solution develop innovative solution collaboration external internal partner implement project field machine connectivity plc programming extract data me,"['collaboration', '0']"
147,strong knowledge embedded c preferred automotive domain knowledge experience autosar strong o concept like efficient multi threading resource sharing knowledge experience networking i2c spi uart knowledge tool like door eclipse jira strong communication interpersonal skill knowledge platform audrino would added advantage,"['domain knowledge', 'i2c', 'eclipse']"
148,experience programming embedded c application strong background c inheritance template pointer strong o concept like efficient multi threading resource sharing strong communication interpersonal skill ability work part dedicated project team independentlyautomotive domain knowledgedesign methodology using ooad umlembedded development tool clear case rtc git coverity eclipse methodologiesversion control system clear case rtc gitdevelopment experience communication protocol tool like canalyser canoe lauterbachstrong debugging skillsexperience scripting language like shell perl capl make etc,"['rtc', 'scripting language', 'git', 'eclipse', 'shell', 'canoe lauterbachstrong', 'debugging', 'perl']"
149,mandatory skill strong knowledge experience project management processesstrong written oral communication skillsself driven strong inter personal skillsability build lead teamsability drive virtual team across multiple culture geographiesexcellent time management skillspast experience embedded software development customer requirement handlingexposure atleast one project life cycle e g iterative development good c c knowledgemandatory linux system programming development knowledgeexperience embedded software development testing stakeholder managementmandatory skill tool knowhow project management e g mpp requirement management tool e g door online tracking tool e g jira rational tool concert etc experience agile safe project managementexposure vehicle infotainment systemspmp certificationstrong knowledge experience project management processesstrong written oral communication skillsself driven strong inter personal skillsability build lead teamsability drive virtual team across multiple culture geographiesexcellent time management skillspast experience embedded software development customer requirement handlingexposure atleast one project life cycle e g iterative development good c c knowledge linux system programming development knowledgeexperience embedded software development testing desirable skill tool knowhow project management e g mpp requirement management tool e g door online tracking tool e g jira rational tool concert etc experience agile safe project managementexposure vehicle infotainment system mobile devicespmp certificationpreferred safe certificationautomotive software development experience,"['g mpp', 'mobile', 'g jira', 'linux', 'testing', 'software', 'project management', 'one']"
150,mandatory skill 1 scm tool devops rtc clearcase git along continuous integration tool like jenkins cruise control2 scripting perl python shell window batch powershell3 bug tracking rtc jira bugzilla4 operating system genivi linux android qnx5 build tooling autoconf gnu make cmake ninja yocto6 strong understanding scm process branching strategy7 build error categorize compiler error linker error runtime error check tool using understand runtime error etc skill 1 embedded experience2 quality tool like static dynamic code analysis tool 3 exposure open source licensing,"['3', 'rtc', 'python', 'yocto6', 'continuous integration', '1', 'git', 'jenkins', 'autoconf', 'compiler', 'shell', 'android', 'devops', 'linux', 'operating system', 'rtc jira', 'perl']"
151,good understanding azure lift shift migration various source environment like vmware hyper v physical server cloud migration tool azure migrate cloud sphere double take carbonite migrate strong understanding across azure infrastructure component server storage network data application deliver end end cloud infrastructure engagement includes assessment migration handled database migration sql server 2005 later version oracle migration dts ssis package conversion advance knowledge operating system virtualization monitoring patching server health check performance tuning itil process knowledge experience raising ticket vendor case change planning implementation knowledge tool like powershell visio advance knowledge m excel word participate root cause analysis provide technical insight issue plan present critical change cab tab call basic knowledge understanding application database storage strong troubleshooting skill excellent communication interpersonal presentation skill candidate problem solving analytical skill candidate documentation specification skill candidate willing relocate client location flexible work timing 24 7 minimum 1 technical certification microsoft azure,"['component', 'server', 'oracle', 'documentation', '1', 'microsoft azure', 'monitoring', 'database', '2005', 'specification', 'operating system', '24 7', 'azure']"
152,4 year hand experience mysql postgresql server mongodb nosql administration least 2 year database migration experience including database migration cloud using azure migrate experience database huge data size across multiple database platform e g postgresql mysql etc experience heterogeneous database migration one database engine another database engine customer facing skill understand requirement drive discussion technical business team analyze premise transactional database environment mysql postgresql mongodb plan migration strategy cloud develop enhance script migrate source database target database check possibility workarounds specific issue observed migration automate solution repeatable task issue design develop test plan test case part checklist demonstrate database readiness post migration consult optimal design database environment analyzing complex production deployment making recommendation optimize performance automation framework like terraform ansible knowledge resolving recommendation application team regarding database migration compatibility issue knowledge cloud backup recovery strategy method conduct technical session internal team partner customer good communication presentation skill good handling customer escalation provide solution reliability ability work pressure ability precise communication must able work 24x7 shift customer location microsoft azure certified preferredb,"['4 year', 'nosql', 'mongodb', 'server', 'business', 'terraform', 'design', 'framework', 'deployment', 'microsoft azure', '2 year', 'database', 'ansible', '24x7', 'postgresql', 'mysql', 'one', 'azure']"
153,diploma b e e b sc sc computer electronics 6 year hand experience mysql postgresql server mongodb nosql administration least 3 year database migration experience including database migration cloud using azure migrate experience database huge data size across multiple database platform e g postgresql mysql mongodb etc experience heterogeneous database migration one database engine another database engine customer facing skill understand requirement drive discussion technical business team analyze premise transactional database environment mysql postgresql mongodb plan migration strategy cloud develop enhance script migrate source database target database check possibility workarounds specific issue observed migration automate solution repeatable task issue design develop test plan test case part checklist demonstrate database readiness post migration consult optimal design database environment analyzing complex production deployment making recommendation optimize performance automation framework like terraform ansible knowledge resolving recommendation application team regarding database migration compatibility issue knowledge cloud backup recovery strategy method conduct technical session internal team partner customer good communication presentation skill good handling customer escalation provide solution reliability ability work pressure ability precise communication must able work 24x7 shift customer location microsoft azure certified preferred knowledge added advantage azure certification compute provisioning vm azure configuring workload disk networking high availability set defining backup,"['business', 'terraform', 'framework', 'postgresql', 'one', 'high availability', 'azure', 'nosql', 'design', 'deployment', 'microsoft azure', 'ansible', 'mysql', 'workload', '6 year', 'mongodb', 'server', 'database', '24x7']"
154,experience driving migration project end end process technical front experience deploying containerized application ak kubernetes service public cloud experience iac using terraform ansible experience configuring azure devops good understanding azure lift shift migration various source environment like vmware hyper v physical server cloud strong understanding across azure infrastructure component server storage network data application deliver end end cloud infrastructure engagement includes assessment migration azure networking experience vnet subnet load balancing vnet peering vpn depth breadth experience azure iaa paas e experience migrating thousand server cloud variety scenario massive workload linux strength networking virtualization automation scripting bash awk minimum strong troubleshooting skill excellent communication interpersonal presentation skill reliability ability work pressure ability precise communication must ability learn new technology quickly nurture cloud computing expertise internally externally drive cloud adoption experience leading team applying element technical consulting understands articulate technical merit value cloud computing minimum 3 technical certification microsoft azure vmware,"['3', 'component', 'server', 'bash', 'workload', 'terraform', 'microsoft azure', 'ansible', 'devops', 'kubernetes', 'linux', 'azure']"
155,task preparing low level design middleware application development automotive infotainment diagnostics programming debugging multithreaded software environment unit test development execution feature module testing software release maintenancemandatory skill strong embedded c programming skill strong knowledge automotive diagnosis protocol uds kwp2000 overview autosar knowledge canoe capl strong knowledge embedded linux development android debugging using gdb trace mechanism good team player strong analytical logical skill good communication skillsdesirable skill domain system knowledge car multimedia domain know automotive infotainment open source standard like genivi preferrable experience working agile team familiarity agile development process concept,"['middleware', 'kwp2000', 'gdb', 'design', 'release', 'android', 'software', 'testing', 'linux', 'debugging', 'multimedia']"
156,key task design implementation testing deploy support ci cd ct using jenkins build script tool continuously improve effectiveness efficiency cx infrastructure spin new server build infrastructure short timeinfrastructure availability zero downtimecontinuous monitoring cm monitoring analysis infrastructure process application write script automation using python groovy batch shell look opportunity automate existing tool processwork hybrid window linux environmentpropose convincing solution redesigning existing code functionality better performance quality maintainabilityparticipation regular scrum meeting planning review retrospective regular interaction development team solve issue faced mandatory skillsminimum 2 year working experience devop cx jenkins git githubprogramming scripting python groovy batch shell powershelltools technology process jira rtc agile sdlcstrong knowledge dev ops concept continuous integration cd tool chain hand experience implementing ci cd cthands experience developing automating ci delivery pipelinesstrong experience software configuration management tool like git github clearcase expertise ci tool e g jenkins administration defining pipeline flowdesired skillsunderstanding versioning concept git github integration jenkins strong background linux window administration experience binary management using tool like jfrog artifactory nexusknowledge build tool make mavenexcellent analysis debugging problem solving skill willingness learn new toolworking experience embedded automotive developmentknowledge embedded c c interpersonal skill excellent analytical communication presentation skillsflexibility work diverse topic within scope team,"['continuous integration', 'jenkins', 'monitoring', 'groovy', 'linux', 'debugging', 'support', 'g jenkins administration', 'zero', 'interaction', 'design', 'git', 'jira rtc agile sdlcstrong', 'github', 'shell', 'testing', 'software', 'server', 'python', '2 year', 'scrum meeting planning review retrospective']"
157,job descriptionrequirement elicitation customer apple google preparing concept design customer requirementsdevelop software module android automotive c java layer design code review causal analysis corrective preventive action issue change requestporting optimization integration componentsdocumentation functional description user manual concept design documentationadaptation extension existing software componentsupport customer project analyzing fixing issue reported apple google customer continuous improvement software design code quality applying clean code principle developing solution system level requirementstechnical collaboration across dependency component define scope debug developing robust solutiontechnical competency strong c java programming skill oops concept system knowledgeexperience working android automotive application development preferredunderstanding application solid principle design patternsapplication middleware development smartphone integration solution car play android auto added advantagefeature module testing unit test development executionexposure linux android based systemshave worked modern source control tool git gerrit experience test driven development experience applying clean code principle software developmentexperience configuring ci cd pipeline android application,"['code quality', 'testing', 'middleware', 'component', 'java', 'design', 'git', 'collaboration', 'google', 'android', 'linux', 'software', 'code review', 'job descriptionrequirement', 'play']"
158,job descriptionrequirement analysis customer apple google preparing concept design customer requirementsdevelop software module android automotive c java layer code review causal analysis corrective preventive action issue change requestporting optimization integration componentsdocumentation functional description user manual concept design documentationadaptation extension existing software componentsupport customer project analyzing fixing issue reported apple google customer technical competency strong c java programming skill oops concept system knowledgeunderstanding application solid design principlesexperience working android automotive application development preferredapplication middleware development smartphone integration solution carplay android auto added advantagefeature module testing unit test development gtest junit executionexposure linux android based systemshave worked modern source control tool git gerrit experience test driven development experience applying clean code principle software development,"['middleware', 'java', 'design', 'junit', 'git', 'google', 'android', 'linux', 'software', 'code review', 'testing']"
159,job descriptiondevelop software module android automotive c java layer causal analysis corrective preventive action issue change requestporting optimization integration componentsdocumentation functional description user manual concept design documentationadaptation extension existing software componentsupport customer project analyzing fixing issue reported apple google customer technical competency strong c java programming skill oops conceptsexperience working android automotive application development preferredapplication middleware development smartphone integration solution carplay android auto added advantagefeature module testing unit test development gtest junit executionhave worked modern source control tool git gerrit experience test driven development experience applying clean code principle software development,"['middleware', 'java', 'design', 'junit', 'git', 'android', 'google', 'software', 'testing']"
160,classic autosar responsible develop integrate test release deliver autosar component autonomous driving vehicle sw development dasy support customer realize application vehicle start development sod end verification eov job description perform requirement analysis implementation detailed design sw test specification development execution necessary test part developmentdefine architecture firmware reference application software based classic autosar high performance computing platform embedded automotive applicationsrequirements engineering derive software system requirement line autosar specensure process compliance respect defined prolib aspice qmmintegration autosar software package complete program versionsautosar component integrationrte configurationsderive verification validation criterion autosar requirement,"['component', 'engineering', 'design', 'release', 'software', 'specification', 'support']"
161,tasksrequirements gathering analysisprovide input technical topic estimationhigh level low level designpreparation test specification reviewdevelopment middleware component using c embedded linux androidanalyzing fixing issue component reported testsassure product quality characteristic fulfillmentadaptation extension existing software componentsupport customer project analyzing fixing issue reported integrated product environment,"['middleware', 'component', 'linux', 'software', 'specification']"
162,mandatory competenciestechno manager closely work team customer hand project management experience automotive domain preparation estimation effort budget tracking customer co ordination scheduling defect tracking metric reporting stake holder managementmanaging requirement change projecton time quality deliveryexcellent embedded system concept automotive domaingood understanding embedded software development automotive domainadaptive challenging situationsgood knowledge cmmi iso aspice quality standardautomotive system knowledge ecu sensor software technical mindsetability understand take decision technical proposalsgood negotiating convincing skillsawareness hardware hardware software interface software development modelsexperience working international inter cultural teamsexperience using change management version management tool like rational clearquest svn door clear case jira etc,"['embedded system', 'software', 'project management']"
163,task derive concrete test scenario based system requirement incl creation test specification implementation execution test scenario virtual release test virtual test drive sil test platform phyton evaluation oft test result programming evaluation script running evaluation framework test different parameter variation generation test report test result test executed sil test platform specific pi sprint generation defect test negative test result failed add created test scenario tot existing database integration external 3rd party database test scenario provide proposal regarding possible performance improvement sil test platform tool responsible requirement professional experience system test incl istqb certified tester foundation level ideally also advanced level good knowledge experience python well technical knowledge field test automation knowledge experience c nice experience tool continuous integration delivery jenkins ansible docker knowledge filed system analysis well autonomous driving driver assistance system e g adaptive cruise control traffic jam assist pilot lane keeping system autonomous emergency braking system experience o linux ubuntu qnx experience automotive industry standard iso26262 automotive spice nice high analytical conceptional skill good communication skill ability work team goal result orientation well independence willingness travel germany training workshop required,"['iso26262', 'docker', 'python', 'release', 'framework', 'continuous integration', 'jenkins', 'germany', 'database', 'ansible', 'linux', 'specification', '3rd', 'ubuntu']"
164,expected scope work responsibility requirement work product development sap successfactors lm extension candidate required work part scrum team managed bosch customer work shall done connecting customer network bosch office bosch laptop provided candidate undergo training sap success factor lm 6 week ramp withing time period become effective work training shall provided bosch customer check sourced conforming bosch customer coding standard guideline regular jira update work progress design requirement document update unit test report,"['design', '6 week']"
165,develop maintain electric vehicle thermal system model component model gt suitecollaborate thermal system lab verify validate simulation resultsanalyze simulation result system product impactsdrive activity technical content individual contributionswork team 10 engineer identify winning thermal system technology component requirement electric plug hybrid vehiclescombine experimental data simulation result market trend customer input draw conclusion future product requirementscommunicate bosch internal stakeholder collaboration partner external customer,"['simulation', 'collaboration', '10', 'component']"
166,3 6 yr experience embedded software development responsibility task embedded software development electric drive project requirement gathering analysis software design implementation software integration testing required skill set good experience c programming knowledge rtos ucos free rtos open rtos knowledge hardware reading hardware schematic debugging skill experience firmware development tool eclipse keil iar cc tasking usage configuration management tool clearcase svn git knowledge microcontroller architecture tricore arm freescale mpc 16bit 32bit microcontroller architecture knowledge communication protocol usb tcp ip canopen modbus ble wifi knowledge file system fatfs flash file system usb mass storagevery good knowledge software engineering process proactive good communication interpersonal skill german language skill work experience german customer added advantage,"['16bit 32bit', '3 6', 'design', 'git', 'german', 'file system', 'eclipse', 'canopen modbus', 'microcontroller', 'software', 'testing', 'debugging', 'freescale mpc', 'software engineering']"
167,10 12 year experience architecture embedded software product development system engineering responsibility task embedded system architect electric drive project requirement gathering analysis module design development architecture documentation required skill set 10 year prior experience embedded system product development preferably industrial automation electric drive experience design complex interdependent system focus firmware well e e architecture good experience c programming rtos hardware development process reading understanding schematic debugging good experience firmware development industrial automation device electric drive experience development tool eclipse based ide clearcase git requirement engineering tool like door knowledge microcontroller architecture tricore arm freescale 32bit dual core multi core microcontroller architecture experience industrial communication protocol e g ethercat canopen profibus etcexperience development method model based system engineering rapid prototyping agile method experience relevant tool good communication skill experience working within international cross divisional team proven assertiveness highly technical environment,"['profibus', 'engineering', 'design', 'documentation', 'embedded system', 'git', '10 12 year', 'eclipse', '10 year', 'microcontroller', 'software', 'debugging']"
168,job descriptionmanage container platform ecosystem installation upgrade patching monitoring assist change management container platform new version openshift hotfixes sysadmin task etc cluster capacity management provisioning automation underlyingexperience mandatory expertise redhat openshift container platform expertise kubernetes expertise working docker similar container technology experience aws cloud paas iaa technology experience working infrastructure code technology terraformexperience redhat linux administration experience infrastructure provisioning monitoring ops,"['docker', 'openshift', 'monitoring', 'kubernetes', 'linux']"
169,role cicd senior engineerjob descriptionexperience 6 8 yearsskill requirement must working experience linux unix strong scripting knowledge one scripting language shell python groovy must experience setup managing container container management service docker swarm kubernetes openshift eks ak strong working experience writing jenkins pipeline shared library azuredevops pipeline cicd integration strong working experience infrastructure code iac configuration management tool like ansible terraform arm template good knowledge application release process cloud hosted application experience monitoring metric visualization tool network server application status splunk grafana prometheus newrelic good understanding networking protocol rest api preferred good working knowledge binary management tool artifactory nexus code quality coverage tool sonarqube preferred experience cloud infrastructure provisioning deployment azure aws gcp azure devops github action would added advantage task overall technical responsible assigned project topic along customer responsible mentoring leading team cicd professional managing infrastructure administration activity application support server administration rollouts maintenance application deployment design manage useable scalable continuous integration system continuous deployment system system troubleshooting problem solving across platform application domain automate development delivery life cycle using script appropriate cicd tool provide technical consultation deliver mvp new topic managing build release configuration management production system implementing automation tool framework automatic code deployment ci cd qualificationsbe b tech mcaadditional information experience operation sla service flexible work shift project needed,"['sonarqube', 'scripting language', 'openshift', 'terraform', 'continuous integration', 'jenkins', 'framework', 'monitoring', 'groovy', 'linux', 'visualization', 'one', 'support', 'library', 'code quality', 'azure', 'design', 'deployment', 'github', 'ansible', 'grafana', 'shell', 'prometheus', 'continuous deployment', 'docker swarm', 'python', 'server', '6 8', 'release', 'rest api', 'kubernetes', 'devops']"
170,role cicd engineerjob descriptionexperience 3 5 year skill requirement must working experience linux unix strong scripting knowledge one scripting language shell python groovy hand experience docker docker swarm kubernetes openshift strong working experience writing jenkins pipeline shared library cicd integration deployment strong working experience infrastructure code iac configuration management tool like ansible terraform good working knowledge monitoring tool like splunk newrelic prometheus working knowledge binary management tool artifactory nexus code quality coverage tool sonarqube would added advantage experience cloud infrastructure provisioning deployment azure aws gcp azure devops github action would added advantage task managing continuous integration system continuous deployment system developing script based customer requirement write pipeline script integrate various tool automate cicd process system troubleshooting problem solving across platform application domain automate development delivery lifecycle using script appropriate cicd tool responsible tool installation migration upgradation managing build release configuration management production system responsible deploying automating maintaining troubleshooting improving system keep infrastructure running fine system monitoring network performance monitoring monitoring toolsqualificationsbe b tech mcaadditional information experience operation sla service flexible work shift project needed,"['docker', 'sonarqube', 'scripting language', 'openshift', 'terraform', 'continuous integration', 'jenkins', 'monitoring', 'groovy', 'linux', 'one', 'library', 'code quality', 'azure', 'deployment', '3 5 year', 'github', 'ansible', 'network performance', 'shell', 'prometheus', 'continuous deployment', 'docker swarm', 'python', 'release', 'kubernetes', 'devops']"
171,experience 7 10 year experience java exceptional core java skill working experience java 8 spring working experience hibernet springboot knowledge ooad xml xml parsing junit soap restful microservices good understanding experience sdlc phase knowledge v git maven good communication skill good analytical skill strong commitment desire learn grow,"['8', 'java', '7 10 year', 'spring', 'junit', 'git', 'maven', 'parsing']"
172,ability develop test web application written dotnet mvc wcfmaintenance support application post deployment productioncertification m added advantagedesign coding testing per coding standard guidelinesunit test case creationtraceability maintained phasesknowledge dev ops good communication skill customer handling skill able work team generate weekly monthly report coordination site manager customer counterpartsshould single point contact project,"['weekly', 'deployment', 'testing', 'dotnet mvc', 'support', 'monthly']"
173,job description demonstrate knowledge architecting designing developing iot solution connectivity layer using different iot platform market ex azure aws bosch thingworx etc closely interact customer understand business need convert business need technical specification demonstrate ownership ensuring technical solution implemented per specification create proof concept demonstrate viable solution demonstrate knowledge experience agile alm capacity planning cost estimation risk management mitigation compliance devops security architecture demonstrate high degree technical knowledge provide guidance nurture team review deliverable provide recommendation team participate conducting technical training contribution presales activity delivering insight suggestion continuous improvement existing technical solution creating culture continuous learning self development responsible technical design architecture complex project evaluating design alternative cost benefit,"['security', 'business', 'design', 'devops', 'specification', 'azure']"
174,job description demonstrate knowledge architecting designing developing iot solution connectivity layer using different iot platform market ex azure aws bosch thingworx etc closely interact customer understand business need convert business need technical specification demonstrate ownership ensuring technical solution implemented per specification create proof concept demonstrate viable solution demonstrate knowledge experience agile alm capacity planning cost estimation risk management mitigation compliance devops security architecture demonstrate high degree technical knowledge provide guidance nurture team review deliverable provide recommendation team participate conducting technical training contribution presales activity delivering insight suggestion continuous improvement existing technical solution creating culture continuous learning self development responsible technical design architecture complex project evaluating design alternative cost benefit,"['security', 'business', 'design', 'devops', 'specification', 'azure']"
175,cloud solution architectas senior cloud consultant engage client develop leading edge cloud computing technology solution based best practice product engineering digital transformation adopting cloud virtualization new age platform technology qualification overall 15 year experience 5 year hand experience cloud platform aws azure gcpshould mvp rmvp togaf certifiedminimum 2 year experience consulting large cloud transformation program especially product modernization cloud 10 year hand design implementation consulting experience large scale distributed system knowledge apis enterprise integration multi cloud strategy product cloud native architecture good understanding fullstack development hand experience one technology stack experience conducting proof concept developing prototype reference model strong communication skill effectively communicate make strategic recommendation sr mgmt well level internal external service partner responsibility design cloud adoption strategy roadmap software product platformbuilding strong cloud community center excellence coe strengthen technical competency bid strongly new projectsidentify propose cloud optimization strategy building asset acceleratorsability propose right cloud platform given business scenario identify opportunity cloud onboarding software product enterprise software platform perform capacity planning forecasting cloudability carve extended engagement customer post cloud adoption varied business model work along team architect smes co creating asset cloud strategy technical skill required cloud platform iaa paas aws azure gcpknowledge microservices based architecture serverless architecture full stack engineering cloud native computing concept knowledge container container orchestration kubernetes etc support estimation deliverable identification planning cloud based engineering project,"['serverless', '15 year', 'azure', 'business', 'engineering', 'design', '10 year', 'kubernetes', 'software', '5 year', 'one', 'support', 'togaf certifiedminimum 2 year']"
176,task evaluates technical requirement ensure traceability technical requirement feature listcreates maintains defined area feature list within scope defined processescreates feature oriented target specification requirement specification basis requirementsdepicts assigned feature component systemdevelops release verifies system concept cooperation stakeholder architectsreconciles system relevant decision concept affected stakeholdersprofile looking feature owner fo good vertical knowledge chosen area e g connectivity sw update etc infotainment domain candidate comprehensive exposure hmi development technical co ordination good exposure embedded linux platform take responsibility define feature scope product developed skill specialist one function sub system swupdate diagnosis bt phone automotive cyber security vehicle infotainment ivi domain experience ivi system overview function sub system concept design requirement analysis specification management planning negotiation skill including intercultural conflict management skill including intercultural play authority escalation including intercultural linux based software integration debugginglinux c knowledgepreference candidate able present prove idea effective way solution oriented pro active extremely good problem analysis problem solving lead mentor small team effectively tech savvy willing work open source tool good communicator desirable domain knowledge 1 voice recognition vr 2 camera technology infotainmentexperience rvc rear view camera experience svm surround view monitoring 3 system component heat control vd clock ai project adaptation dimming,"['domain knowledge', 'security', 'component', '3', 'release', 'design', '1', 'monitoring', 'ai', 'linux', 'software', 'specification', 'one', '2', 'play']"
177,key responsibility include project planning tracking sw release customernegotiation various stakeholder component team oe plant quality etc managing project stake holder across geographiesdecision making project priority conflict requirementsteam engagement motivation competency build upquality risk handling per standard process organizationmetrics data collection analysis project status reportingserve primary customer contact variety topic work closely customer resolve open topic align goalsskills strong knowledge experience project management processesstrong written oral communication skillsself driven strong inter personal skillsability build lead teamsexcellent time management skillspast experience embedded system testingknowledge test methodstools know project management e g mpp requirement management tool e g door online tracking tool e g rtc etc experience vehicle infotainment system cluster domainpmp added advantage,"['component', 'g mpp', 'release', 'g rtc', 'embedded system', 'project management']"
178,setup build system integrate change developer release common baselinestrouble shooting issue build coordinating developersowner sw baseline configuration component product capability test baseline ass fitment releasehandle sw release production plant appropriate documentationhandle issue w r sw flashingclearcase rtc git scm tool scripting knowledge ant maven bash perl python writing script automate various processesawareness sw development lifecyclesexperience continuous integration tool concept automation jenkins staged integration etcbasic linux system administration knowledgestrong communication interpersonal skill,"['component', 'rtc', 'bash', 'python', 'release', 'continuous integration', 'git', 'jenkins', 'linux', 'maven', 'perl']"
179,system test test infotainment convergence system know test methodology programming experience python tcl perl shell c c c capl jenkins experience preparation execution test strategy test plan test specification automating test case good understanding project test life cycle testing certification would added advantage experience usage test measuring equipment,"['python', 'jenkins', 'shell', 'testing', 'specification', 'perl']"
180,experience embedded software development knowledge industry standard crypto security algorithm encyrption decryption authentication rsa aes ecdsa hash algorithm etc expertise various aspect embedded security boot time security run time security arm trust zone memory protection management mechanism slinux multi user concept locking device proficiency c programming language experience writing code hw component device driver experience o integrity linux working knowledge o concept semaphore thread experience resolving security vulnerability knowledge system architecture arm x86 desirable knowledge low level protocol spi jtag ethernet added advantage,"['algorithm', 'programming language', 'security', 'authentication', 'component', 'semaphore', 'ethernet', 'linux', 'software', 'multi user', 'rsa']"
